theme_name,discussion_id,challenge,confidence_score,justification,multi_theme_mapped
Poverty and Economic Barriers,26270,Girls from poor families have to leave their studies and go to work in the fields to do household work or earn money.,0.95,"The challenge explicitly mentions 'poor families' forcing girls to prioritize work over education to earn money, which directly aligns with poverty forcing children to work instead of attending school.",FALSE
Early Marriage,26270,Getting married at a young age.,0.98,"The phrase 'getting married at a young age' directly refers to early marriage, which is a barrier that prevents children from continuing their education.",FALSE
Unknown/Unclear,26276,The problem of not being in school,0.95,This statement starts with the vague phrase 'The problem of...' and does not specify what barrier is causing children to not be in school. It lacks actionable specifics about the underlying cause.,FALSE
Distance and Accessibility Issues,26270,"Due to lack of sunlight in the winter season, school uniforms do not dry and hence children are unable to go to school.",0.85,"The challenge describes weather-related conditions (lack of sunlight in winter) that create environmental barriers preventing children from attending school, which fits the definition of accessibility issues caused by seasonal factors.",FALSE
Unknown/Unclear,26276,problems of the poor,0.9,This is a 3-word vague statement that does not specifically describe how poverty affects education. It lacks context and actionable details about educational barriers.,FALSE
Unknown/Unclear,26267,Children don't feel like studying,0.9,"This statement is vague and does not specify any concrete educational barrier. It lacks context about why children don't feel like studying and could relate to multiple factors, making it impossible to classify into a specific theme.",FALSE
Poverty and Economic Barriers,26267,Richa Kumari studies in school but is busy with household chores.,0.85,"The statement mentions 'Richa Kumari' which is a personal name (PII). The challenge describes how the child is busy with household chores, which aligns with Theme 1 as it indicates families forcing children to prioritize domestic work over education due to economic constraints.",FALSE
Safety Concerns,26273,The children said that they do not go to school because there is a lot of violence in the school.,0.95,The challenge explicitly mentions 'violence in the school' which directly relates to safety concerns that prevent children from attending school.,FALSE
School Infrastructure and Facility Issues,26273,"Children who had previously studied up to the fifth grade did not receive their certificates, due to which many children were not attending school.",0.85,"The challenge describes administrative and systemic gaps where certificates are not being provided, which falls under school infrastructure and facility issues related to government schemes and administrative processes.",FALSE
Unknown/Unclear,26265,"Marriage at an early age was banned, the biggest question that arises is that the children were not able to read the books given to them properly",0.85,"The statement is confusing and unclear - it mentions early marriage being banned (which is positive, not a barrier) and then connects it unclearly to children not reading books properly. The logical connection between these elements is not evident, making it impossible to classify into a specific educational barrier theme.",FALSE
Unknown/Unclear,26265,Special attention was also given to cleanliness there,0.95,This is an aspirational or positive statement describing an action taken rather than identifying an educational barrier. It does not describe a challenge or obstacle affecting children's education.,FALSE
Unknown/Unclear,26278,Not a single child from the Muslim community is studying.,0.9,"The statement identifies a problem but does not specify the actual barrier or reason why children from the Muslim community are not studying. Without knowing the underlying cause (poverty, cultural beliefs, distance, etc.), it cannot be classified into any specific theme.",FALSE
Unknown/Unclear,26278,A girl is not going to study after enrolling in Intermediate.,0.85,"The statement describes a dropout situation but does not provide any specific reason or barrier causing the girl to discontinue her studies after intermediate enrollment. Without knowing the underlying cause, it cannot be classified into any defined theme.",FALSE
Poverty and Economic Barriers,26277,Children do not attend school due to lack of resources.,0.85,"The phrase 'lack of resources' directly indicates financial constraints preventing school attendance, which aligns with poverty-related barriers to education.",FALSE
Legal Document linked Barriers,26277,Problem in enrollment due to non-generation of Aadhar card.,0.95,"The statement explicitly mentions 'non-generation of Aadhar card' causing enrollment problems, which is a clear example of missing legal documentation creating administrative barriers.",FALSE
Unknown/Unclear,26279,Children in the community are mostly busy playing and watching.,0.85,This statement is vague and does not specify a clear educational barrier. It mentions children playing and watching but does not explain how this specifically prevents school attendance or creates an educational challenge.,FALSE
Unknown/Unclear,26279,Parents are often not available to guide their children as they are busy in the gym.,0.75,"While this mentions parental unavailability, the context (parents busy in the gym) does not align with any defined educational barrier themes. It does not clearly relate to poverty, migration, cultural attitudes, or other specified barriers.",FALSE
Legal Document linked Barriers,26283,The child does not have an Aadhaar card,1,"The statement explicitly mentions the absence of an Aadhaar card, which is a legal document required for school enrollment as per Theme 2 definition.",FALSE
Poverty and Economic Barriers,26283,The child does not go to work to study.,0.85,"The statement indicates that the child is engaged in work instead of studying, which reflects economic necessity forcing children to prioritize work over education as described in Theme 1.",FALSE
Poverty and Economic Barriers,26281,"Due to poverty, Chandni Devi's daughter was abandoned after completing her eighth birthday.",0.95,The statement explicitly mentions 'poverty' as the reason for educational discontinuation. Contains PII: 'Chandni Devi' is a personal name identifying a specific individual.,FALSE
Unknown/Unclear,26289,Left the promotion due to failure.,0.85,The statement is unclear and lacks sufficient context to determine the specific educational barrier. The phrase 'left the promotion due to failure' is ambiguous and does not clearly align with any defined theme.,FALSE
Poverty and Economic Barriers,26281,"Munni Devi has a daughter, but due to extreme poverty, she cannot enroll in any school.",0.95,The statement clearly identifies 'extreme poverty' as the barrier preventing school enrollment. Contains PII: 'Munni Devi' is a personal name identifying a specific individual.,FALSE
School Infrastructure and Facility Issues,26280,Students not receiving learning materials and scholarships on time.,0.85,"The challenge mentions 'not receiving learning materials and scholarships on time' which indicates delays in government schemes and insufficient learning resources, fitting the definition of systemic gaps in school facilities.",FALSE
Poverty and Economic Barriers,26275,Poor financial condition of parents,0.95,The statement directly mentions 'poor financial condition' which is a core indicator of economic hardship affecting families' ability to support education.,FALSE
Other Factors,26280,Not understanding the importance of education.,0.95,"The phrase 'not understanding the importance of education' directly indicates lack of awareness about education, which is explicitly covered under Theme 10 as 'parents/community not being aware' and 'lack of awareness in terms of education in general'.",FALSE
Poverty and Economic Barriers,26275,"Due to poor economic conditions, children start doing child labour at an early age.",1,"The statement explicitly links 'poor economic conditions' to children engaging in 'child labour', which directly aligns with how poverty forces children to prioritize work over education.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26280,Girls are unable to attend school regularly due to being busy with household chores.,0.9,"The challenge states 'girls are unable to attend school regularly due to being busy with household chores' which reflects cultural norms prioritizing domestic roles for girls over education, a key aspect of socio-cultural barriers.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26303,Keeping girls busy with household chores,0.95,"The statement describes girls being engaged in domestic work instead of attending school, which reflects cultural norms and parental beliefs that prioritize household duties over education for girls.",FALSE
Poverty and Economic Barriers,26275,"Due to poor financial condition, parents go to work as laborers and girls take care of the household chores.",0.95,"The statement describes how 'poor financial condition' forces parents to work as laborers, resulting in girls being pulled into domestic work instead of attending school, which is a direct example of economic barriers to education.",FALSE
Early Marriage,26285,Girls are married before the age of 18.,1,"The statement explicitly mentions girls being married before age 18, which is child marriage and directly aligns with Theme 3 that addresses how early marriage prevents girls from continuing their education.",FALSE
Distance and Accessibility Issues,26285,It is not possible for small children to go to Anganwadi as it is very far away.,1,"The challenge clearly states that the Anganwadi is 'very far away' making it impossible for children to attend, which directly corresponds to Theme 4 addressing distance and accessibility barriers to educational facilities.",FALSE
Unknown/Unclear,26287,Other difficulties in providing good education in rural areas,1,"This statement uses vague phrasing 'Other difficulties' without specifying any concrete barrier, making it impossible to classify into any defined theme.",FALSE
Poverty and Economic Barriers,26287,Many families in rural areas live below the poverty line.,0.95,"The statement explicitly mentions families living 'below the poverty line,' which directly indicates economic hardship affecting their ability to support children's education.",FALSE
Unknown/Unclear,26286,Children do not go to school every day,0.95,"This statement is too vague and does not specify any particular barrier causing irregular attendance. It lacks context about why children don't attend daily, making it impossible to classify into any specific theme.",FALSE
Unknown/Unclear,26286,Reading in the wrong company,0.85,This phrase is unclear and does not explicitly describe a recognizable educational barrier. It could potentially relate to peer influence but lacks sufficient context to classify into any defined theme.,FALSE
Legal Document linked Barriers,26282,"Due to not having Aadhar card and birth certificate, children are not able to get admission in school.",1,"The challenge explicitly mentions missing legal documents (Aadhar card and birth certificate) preventing school admission, which directly aligns with Theme 2's definition of documentation barriers.",FALSE
Poverty and Economic Barriers,26282,"Poor girls are busy in household chores and farm work, preventing them from attending school.",0.95,"The challenge mentions 'poor girls' engaged in 'household chores and farm work' instead of attending school, indicating economic hardship forcing children to prioritize work over education, which is a core aspect of Theme 1.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26282,Girls are automatically expelled from school due to not attending on time because of household chores.,0.85,"The challenge indicates girls are prioritized for household chores over school attendance, reflecting socio-cultural norms that assign domestic responsibilities to girls, which aligns with Theme 5's definition of cultural barriers affecting girls' education.",FALSE
Poverty and Economic Barriers,26291,My children are ill and due to lack of money at home I will not be able to educate them.,0.95,"The statement explicitly mentions 'lack of money at home' preventing the ability to educate children, which directly aligns with financial hardship as a barrier to education.",FALSE
Safety Concerns,26284,"Parents of the children said that due to the school being located on GT Road, they are not able to send their children to school regularly due to fear.",0.95,"The statement explicitly mentions parents' fear preventing children from attending school regularly due to the school's location on a busy road (GT Road), which directly relates to safety and security concerns about the route to school.",FALSE
Unknown/Unclear,26293,Children are not getting the respect they deserve.,0.85,"This statement is vague and does not specify what educational barrier is being described. 'Respect' could relate to many contexts but doesn't clearly align with any defined theme such as teacher quality, safety, or cultural barriers.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26284,Adolescent girls are unable to attend school due to household chores.,0.9,"The statement describes girls being kept from school to perform household chores, which reflects socio-cultural norms and family attitudes that prioritize domestic roles for girls over their education.",FALSE
School Infrastructure and Facility Issues,26293,We don't get good food in school,0.9,"The statement mentions inadequate food provision in school, which relates to mid-day meal schemes and basic amenities. This aligns with Theme 6 examples like 'Mid day meals are not provided properly to the children in the school'.",FALSE
Legal Document linked Barriers,26284,"Due to the age being less in the Aadhar card, the school registration could not be done.",0.95,"The statement clearly indicates that incorrect information on the Aadhaar card (legal document) is preventing school enrollment, which is a documentation-related administrative barrier.",FALSE
Early Marriage,26298,"After completing her ninth grade, Seema was married by her parents and had to drop out of school.",1,"The statement explicitly mentions that the girl was married by her parents after ninth grade and had to drop out of school, which directly aligns with early marriage preventing continuation of education. PII flagged due to the personal name 'Seema'.",FALSE
Legal Document linked Barriers,26298,Subhash dropped out of school after the fifth grade due to lack of a birth certificate.,1,"The statement clearly indicates that the child dropped out due to lack of a birth certificate, which is a legal document barrier preventing school enrollment or continuation. PII flagged due to the personal name 'Subhash'.",FALSE
Unknown/Unclear,26301,Regarding education and employment,0.95,This challenge starts with the vague phrase 'Regarding...' and does not specify any concrete educational barrier. It is only 4 words and lacks actionable context about what specific issue affects children's education.,FALSE
Distance and Accessibility Issues,26292,The children said that we do not go to school because the school is far away.,0.95,"The challenge explicitly mentions 'school is far away' as the reason children do not attend school, which directly aligns with distance-related barriers to education.",FALSE
Poverty and Economic Barriers,26309,Difficulty in studies due to poor financial condition,0.95,"The challenge explicitly mentions 'poor financial condition' as the reason for difficulty in studies, which directly aligns with poverty and economic barriers affecting education.",FALSE
Safety Concerns,26292,The children said that the reason for more violence in school is that they do not go to school.,0.85,"The challenge mentions 'violence in school' as the reason children do not attend, which relates to safety and security concerns affecting school attendance.",FALSE
Distance and Accessibility Issues,26304,The child is unable to go to school because the school and Anganwadi are very far away.,1,"The challenge explicitly mentions that 'the school and Anganwadi are very far away' which directly prevents the child from attending school, clearly indicating a distance-related barrier to education.",FALSE
Unknown/Unclear,26299,The children are unable to get education due to the death of their mother.,0.85,"While the statement mentions a barrier to education (mother's death), it does not fit into any of the defined themes. It is not about poverty, legal documents, marriage, distance, cultural attitudes, infrastructure, teacher quality, safety, substance abuse, awareness, or migration.",FALSE
Poverty and Economic Barriers,26296,"While studying in class three, his mind started getting distracted from studies. Now he had no interest in studies. He no longer wants to study and helps in the household business. He has grown old.",0.85,"The challenge mentions the child 'helps in the household business' indicating economic necessity forcing the child to prioritize work over education, which is a key indicator of poverty-related barriers.",FALSE
Legal Document linked Barriers,26288,"Due to some discrepancy in the Aadhar card, birth certificate or account of some children, their school money is not coming and they are not able to get admission in the school.",0.95,"The challenge explicitly mentions 'discrepancy in the Aadhar card, birth certificate' preventing school admission, which directly aligns with legal documentation barriers preventing enrollment.",FALSE
Unknown/Unclear,26295,Children are not interested in studies.,0.85,This statement is too vague and does not specify any concrete barrier from the defined themes. It describes a symptom rather than an underlying cause affecting education.,FALSE
Early Marriage,26294,The problem of child marriage,1,"The statement explicitly mentions 'child marriage' which directly aligns with Theme 3, as early marriage is a barrier that prevents children, especially girls, from continuing their education.",FALSE
Poverty and Economic Barriers,26296,"While studying in class 2, he started losing interest in studies. He no longer wanted to study and blamed his involvement in household work and debt.",0.95,"The challenge explicitly mentions 'household work and debt' as reasons for losing interest in studies, clearly indicating financial hardship and economic constraints forcing the child into labor.",FALSE
Early Marriage,26288,The problem of running away has also prevented many children from going to school and getting married at an early age.,0.85,"The challenge mentions 'getting married at an early age' which directly relates to early marriage preventing school attendance, matching the early marriage theme definition.",FALSE
Distance and Accessibility Issues,26299,There is no middle school in the village.,0.9,"The absence of a middle school in the village implies children must travel to distant locations to continue their education, which is a physical accessibility barrier consistent with Theme 4.",FALSE
Poverty and Economic Barriers,26295,"The parents of the children have to do that we are poor people, we get busy in work, the children go to school in the name of school and return home on the way.",0.9,"The statement explicitly mentions 'we are poor people' and 'we get busy in work', indicating that poverty and economic constraints force parents to prioritize work, which affects children's school attendance as they leave midway.",FALSE
Distance and Accessibility Issues,26294,The problem of distance from school,1,"The phrase 'distance from school' directly indicates a physical accessibility barrier, which is the core definition of Theme 4 covering challenges related to long distances preventing school attendance.",FALSE
Poverty and Economic Barriers,26288,"Due to poor financial condition, some children do not go to school and work in small shops.",0.95,"The challenge explicitly states 'poor financial condition' forcing children to work instead of attending school, which is a clear example of poverty-driven educational barriers.",FALSE
Legal Document linked Barriers,26294,Aadhar card problem,1,"The statement mentions 'Aadhar card problem' which directly relates to missing or incomplete legal documentation that creates administrative barriers to school enrollment, as defined in Theme 2.",FALSE
Distance and Accessibility Issues,26305,Children did not go to school because the school was far away.,1,"The statement explicitly mentions 'school was far away' as the reason children did not attend, which directly aligns with distance-related barriers to education.",FALSE
Legal Document linked Barriers,26305,Children were unable to attend school due to lack of Aadhaar cards.,1,"The statement clearly identifies 'lack of Aadhaar cards' as preventing school attendance, which is a legal documentation barrier to enrollment.",FALSE
Poverty and Economic Barriers,26311,Children do not go to school due to poverty.,1,"The statement explicitly mentions 'poverty' as the reason children do not attend school, which directly aligns with economic barriers preventing school attendance.",FALSE
Distance and Accessibility Issues,26306,Children did not go to school because the school was far away.,1,"The statement explicitly mentions 'school was far away' as the reason children did not attend, which directly aligns with distance-related barriers to education.",FALSE
Legal Document linked Barriers,26306,Children were unable to attend school due to lack of Aadhaar cards.,1,"The statement clearly identifies 'lack of Aadhaar cards' as preventing school attendance, which is a legal documentation barrier to enrollment.",FALSE
Distance and Accessibility Issues,26297,Children are unable to reach school because the school is far away.,1,"The challenge explicitly mentions 'school is far away' which directly relates to physical distance preventing school attendance, a core element of Theme 4.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26315,"The villagers here said that what will the girl do after completing her studies, if she studies then where will she get so much dowry for her marriage.",0.95,"This statement reflects the cultural belief that educating girls will increase dowry demands, which is a socio-cultural barrier explicitly mentioned in Theme 5 examples.",FALSE
Unknown/Unclear,26297,Parents want to send their children to school because it is on GT Road.,0.9,This statement describes a positive motivation (parents wanting to send children) rather than a barrier to education. It does not identify any challenge or obstacle preventing school attendance.,FALSE
Poverty and Economic Barriers,26297,"When school parents go to work, they leave the responsibility of taking care of their younger children to their children and hence their children are unable to go to school.",0.85,"The challenge describes children being kept from school to perform domestic work (childcare) due to parents' work obligations, which reflects economic necessity forcing children to prioritize household responsibilities over education, aligning with Theme 1.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26303,The importance of girls' education is underestimated.,0.9,"The statement describes a cultural belief or parental attitude where girls' education is not valued or prioritized, which aligns with socio-cultural barriers that discourage girls from attending school.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26303,Parents also neglect to send their children to school on time.,0.85,"The phrase 'parents neglect to send their children to school on time' indicates parental attitudes and behaviors that affect school attendance, reflecting socio-cultural barriers related to parental mindset.",FALSE
Poverty and Economic Barriers,26300,Not sending children to school due to poor financial condition of the family,0.95,"The challenge explicitly mentions 'poor financial condition of the family' as the reason for not sending children to school, which directly aligns with poverty preventing school attendance.",FALSE
Other Factors,26300,The parents of the children are not educated and hence do not understand the importance of education,0.9,"The challenge describes parents lacking awareness and understanding about the importance of education, which fits Theme 10's definition of lack of awareness affecting children's education.",FALSE
Early Marriage,26300,"Due to the deteriorating environment, children are getting married at an early age",0.95,"The challenge explicitly mentions 'children are getting married at an early age,' which directly corresponds to early marriage as an educational barrier.",FALSE
Other Factors,26300,"Lack of knowledge about government benefits, which hinders children's education",0.9,"The challenge describes 'lack of knowledge about government benefits,' which represents a lack of awareness that affects children's education, fitting Theme 10's definition.",FALSE
Unknown/Unclear,26307,The children of the Muslim community are not studying there.,0.85,"The statement mentions that Muslim community children are not studying but does not specify any particular barrier (economic, distance, cultural attitudes, etc.) causing this situation. Without identifying the specific reason, it cannot be classified into any defined theme.",FALSE
Unknown/Unclear,26307,A girl has been enrolled in Intermediate but she is not interested in studying.,0.8,"The statement describes a lack of interest in studying but does not identify any specific educational barrier from the defined themes. Personal disinterest without context about underlying causes (poverty, safety, cultural factors, etc.) cannot be mapped to any theme.",FALSE
Unknown/Unclear,26307,All children in your ward who are not attending school should be enrolled in school.,0.95,"This is an aspirational or recommendation statement about what should be done, rather than describing a specific educational barrier. It does not identify any particular challenge preventing school attendance.",FALSE
Poverty and Economic Barriers,26302,"Due to poverty, girls are unable to study.",1,"The challenge explicitly mentions 'poverty' as the reason preventing girls from studying, which directly aligns with Theme 1 describing how financial hardship creates barriers to education.",FALSE
Poverty and Economic Barriers,26302,Pooja Kumari said that she did not have money to study B.A.,1,"The statement describes lack of money preventing higher education, which is a clear economic barrier. The challenge contains 'Pooja Kumari' which is a personal name identifying an individual.",FALSE
School Infrastructure and Facility Issues,26302,You get a bag in school but you don't get other facilities.,0.85,"The challenge mentions lack of 'other facilities' in school beyond bags, indicating gaps in school amenities and resources, which aligns with Theme 6 covering inadequate school infrastructure and facilities.",FALSE
School Infrastructure and Facility Issues,26302,"Sunita Devi: Girls, we do not get any facilities from the school.",0.85,"The statement describes not receiving facilities from school, indicating gaps in school amenities and resources. The challenge contains 'Sunita Devi' which is a personal name identifying an individual.",FALSE
Distance and Accessibility Issues,26308,Girls rarely go to school in winter because their schools are far away.,0.95,"The challenge mentions 'schools are far away' combined with seasonal weather factor 'winter' that prevents attendance, which aligns with distance and environmental accessibility barriers.",FALSE
Other Factors,26308,"Parents, despite being educated, are not aware of education and hence are not aware of the education of their children, due to which the child is not sensitive towards education.",0.9,"The challenge explicitly mentions 'parents are not aware of education' and 'not aware of the education of their children', which directly relates to lack of awareness about the importance of education.",FALSE
Unknown/Unclear,26308,"The environment also affects the children, the friends also affect the children, now if one or two friends do not go to school then seeing them the children also do not go.",0.75,"The challenge describes peer influence and environmental factors affecting school attendance but does not fit into any specific defined theme categories. It is not about awareness or migration (Theme 10), nor does it clearly align with socio-cultural barriers, safety, or other defined themes.",FALSE
Unknown/Unclear,26318,The girl did not want to study.,0.95,"The statement provides no specific reason or barrier explaining why the girl did not want to study. Without context about the underlying cause (poverty, distance, safety, parental attitudes, etc.), it cannot be classified into any defined theme.",FALSE
Unknown/Unclear,26318,The boy had dropped out after studying in the fourth grade.,0.95,"The statement only describes that dropout occurred but does not specify any reason or barrier that caused it. Without information about the underlying cause (economic constraints, distance, family attitudes, etc.), it cannot be classified into any defined theme.",FALSE
Poverty and Economic Barriers,26334,"poverty, poor economic condition",1,The challenge explicitly mentions 'poverty' and 'poor economic condition' which directly align with Theme 1's definition of financial hardship affecting education.,FALSE
Unknown/Unclear,26326,Challenges related to education,1,"This is a vague, generic phrase that does not specify any particular educational barrier. It contains only 4 words and provides no actionable information about what specific challenge is being referenced.",FALSE
Legal Document linked Barriers,26322,"Urmila Devi is unable to get Aadhar cards made for her children, hence they are not able to get admission.",1,"The challenge specifically mentions lack of Aadhaar cards preventing school admission, which directly aligns with Theme 2. The statement contains the personal name 'Urmila Devi' which constitutes PII.",FALSE
Legal Document linked Barriers,26320,Three children are not enrolled in school because their names are on Aadhaar.,0.9,"The challenge explicitly mentions children not getting enrolled due to Aadhaar-related documentation issues, which directly aligns with legal document barriers preventing school enrollment.",FALSE
Legal Document linked Barriers,26322,Seema Devi's son is disabled and is unable to get a disability certificate.,0.95,"The challenge describes inability to obtain a disability certificate, which is a legal document barrier preventing proper enrollment or access to educational support. The statement contains the personal name 'Seema Devi' which constitutes PII.",FALSE
Teacher Capacity and Quality Issues,26320,"There is no study in school, only play takes place, that is why children do not go to school.",0.85,"The statement indicates that proper teaching and learning activities are not happening in school, suggesting poor quality of instruction and lack of effective teaching, which affects children's motivation to attend.",FALSE
School Infrastructure and Facility Issues,26312,The fruit or flower that we get on Friday is bad in school.,0.75,"The statement mentions poor quality of provisions (fruit or flower) provided in school, which relates to inadequate school facilities and resources similar to issues with mid-day meals or other school amenities.",FALSE
Unknown/Unclear,26312,Why do children not go to school due to lack of good education?,0.9,"The statement is phrased as a question and is circular/unclear in meaning ('lack of good education' as a reason for not going to school is vague and non-specific), making it impossible to classify into a specific barrier theme.",FALSE
Poverty and Economic Barriers,26319,"Some children do not go to school because they are from poor families, but work at home.",0.95,"The challenge explicitly mentions 'poor families' and children being forced to 'work at home' instead of attending school, which directly aligns with poverty forcing children to prioritize work over education.",FALSE
Legal Document linked Barriers,26319,"Some children do not get their birth certificates made and hence their Aadhaar cards are not made, due to which they are not admitted to school.",1,"The challenge specifically mentions missing 'birth certificates' and 'Aadhaar cards' preventing school admission, which directly matches the definition of legal documentation barriers creating administrative hurdles for enrollment.",FALSE
Unknown/Unclear,26313,Some girls were not filling the form due to failing in Matriculation but through Shiksha Chaupal they decided to fill the Matriculation form again.,0.85,This statement describes a solution or positive outcome (girls deciding to fill forms again through an intervention) rather than presenting an educational barrier. It is aspirational and does not clearly articulate a specific challenge affecting education.,FALSE
Parental Attitudes and Socio-Cultural Barriers,26313,"Due to some social conservatism, parents do not want their daughters to study.",0.95,"The phrase 'social conservatism' and 'parents do not want their daughters to study' directly indicates parental beliefs and cultural norms that discourage girls from attending school, which is the core definition of Theme 5.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26313,Some parents pay more attention to the education of boys and not to that of girls.,0.95,"This statement describes gender discrimination in educational priorities by parents, where boys are favored over girls. This reflects parental attitudes and socio-cultural barriers that limit girls' educational opportunities.",FALSE
Distance and Accessibility Issues,26333,Children did not go to school because the school was far away.,1,"The statement explicitly mentions 'school was far away' as the reason children did not attend, which directly aligns with distance-related barriers to education.",FALSE
Legal Document linked Barriers,26328,Five children were not enrolled in school due to lack of Aadhaar cards.,1,"The challenge explicitly mentions 'lack of Aadhaar cards' preventing school enrollment, which directly aligns with legal documentation barriers that create administrative hurdles for children's education.",FALSE
Legal Document linked Barriers,26333,Children were unable to attend school due to lack of Aadhaar cards.,1,"The statement clearly identifies 'lack of Aadhaar cards' as preventing school attendance, which is a legal documentation barrier to enrollment.",FALSE
Unknown/Unclear,26328,Three children were enrolled in the fifth grade but dropped out.,0.95,"The statement mentions dropout but does not specify any reason or barrier causing the dropout. Without information about why the children left school, no specific educational barrier can be identified.",FALSE
Unknown/Unclear,26323,Children do not go to Nagarbari,0.9,This statement is unclear and lacks context about what 'Nagarbari' refers to or what specific educational barrier is being described. It does not provide enough information to classify into any defined theme.,FALSE
Distance and Accessibility Issues,26323,Children do not go because Anganwadi is far away,0.95,"The statement explicitly mentions that children do not attend because the Anganwadi (early childhood education center) is 'far away', which directly relates to distance as a barrier to accessing educational services.",FALSE
Legal Document linked Barriers,26339,She does not have Aadhar card. Her name is Shahnaji Khatoon. Age 8.,1,The statement explicitly mentions lack of Aadhaar card which prevents enrollment. Contains PII: personal name 'Shahnaji Khatoon' and specific age '8' with identifying details.,FALSE
Unknown/Unclear,26330,Lucky uncle lucky b**** better now,1,This statement is meaningless in the context of educational barriers and does not relate to any defined theme. It contains a personal identifier ('Lucky uncle' - a name) which constitutes PII.,FALSE
Unknown/Unclear,26330,Lucky uncle lottery ticket now,1,This statement does not describe any educational barrier and is unrelated to children's education. It contains a personal identifier ('Lucky uncle' - a name) which constitutes PII.,FALSE
Safety Concerns,26337,"The biggest problem in educating a girl is that her language is bad, people say all kinds of things after seeing her.",0.85,"The statement describes harassment and teasing ('people say all kinds of things after seeing her') which creates an unsafe environment that prevents girls from pursuing education, aligning with safety concerns that affect school attendance.",FALSE
Legal Document linked Barriers,26335,"Due to not having an Aadhar Card, one cannot avail any benefits from the government.",0.95,"The challenge explicitly mentions lack of Aadhaar Card preventing access to government benefits, which is a clear documentation barrier affecting children's ability to access educational support and schemes.",FALSE
Legal Document linked Barriers,26335,"Due to the child not having an Aadhar card, none of the child's money, whether government money, reaches him.",0.95,"The statement directly identifies missing Aadhaar card as the reason preventing the child from receiving government financial benefits, which creates an administrative barrier to accessing educational resources.",FALSE
Poverty and Economic Barriers,26324,Sushma left her studies after studying in the fourth grade due to poverty.,0.95,"The statement explicitly mentions 'due to poverty' as the reason for dropping out of school, which directly aligns with Theme 1. The challenge contains a personal name 'Sushma' which constitutes PII.",FALSE
Legal Document linked Barriers,26324,Shivam dropped out of school after fifth grade due to lack of Aadhaar card,0.98,"The statement clearly identifies 'lack of Aadhaar card' as the barrier preventing school enrollment/continuation, which is the defining characteristic of Theme 2. The challenge contains a personal name 'Shivam' which constitutes PII.",FALSE
Poverty and Economic Barriers,26321,Lack of access to education due to poverty and distance from school.,0.95,"The challenge explicitly mentions 'poverty' as a barrier preventing access to education, which directly aligns with Theme 1 focusing on financial hardship affecting schooling.",TRUE
Distance and Accessibility Issues,26321,Lack of access to education due to poverty and distance from school.,0.95,"The challenge mentions 'distance from school' as a barrier to accessing education, which directly corresponds to Theme 4 addressing physical accessibility challenges.",TRUE
Legal Document linked Barriers,26321,Difficulty in getting Aadhar card and scholarship for children.,0.9,"The challenge specifically mentions difficulty in obtaining 'Aadhar card' which is a legal document required for school enrollment, directly matching Theme 2 examples.",TRUE
School Infrastructure and Facility Issues,26321,Difficulty in getting Aadhar card and scholarship for children.,0.85,"The challenge mentions difficulty accessing 'scholarship' which relates to government schemes and benefits not being received properly, aligning with Theme 6's coverage of systemic gaps in scheme implementation.",TRUE
School Infrastructure and Facility Issues,26327,"Due to lack of proper facilities, girls do not want to go to school.",0.9,"The phrase 'lack of proper facilities' directly indicates gaps in school infrastructure and amenities, which is the core definition of Theme 6.",FALSE
Unknown/Unclear,26327,Child marriage was discussed.,0.85,This statement only mentions that child marriage was discussed but does not describe it as a barrier or challenge affecting education. It is a vague statement without specific context about how it impacts schooling.,FALSE
Safety Concerns,26327,The road leading to the school is deserted.,0.75,"The phrase 'deserted road' implies safety concerns as isolated routes can make families worry about children's security while traveling to school, which aligns with Theme 8.",FALSE
Legal Document linked Barriers,26343,Two girls were unable to enroll in school due to lack of Aadhaar cards.,1,"The challenge explicitly mentions 'unable to enroll in school due to lack of Aadhaar cards,' which directly aligns with Theme 2's definition of missing legal documents creating administrative hurdles for school enrollment.",FALSE
Parental Attitudes and Socio-Cultural Barriers,26338,Children are unable to reach school due to parental negligence.,0.85,"The phrase 'parental negligence' indicates a parental attitude or behavior issue that prevents children from attending school, which falls under socio-cultural and parental mindset barriers.",FALSE
Legal Document linked Barriers,26338,Due to lack of Aadhar card,0.95,"The statement explicitly mentions 'lack of Aadhar card' which is a legal document required for school enrollment, directly matching the definition of Theme 2.",FALSE
Legal Document linked Barriers,26332,It is necessary to correct the date of birth of Anjali Kumari as she has to appear in the Matriculation examination.,0.85,"The challenge mentions an issue with correcting date of birth documentation required for examination enrollment, which is a legal document-related administrative barrier preventing proper school participation.",FALSE
Safety Concerns,26332,Sanjana Kumari is kidnapped and does not go to school.,0.95,"The challenge explicitly mentions kidnapping, which is a severe safety and security concern affecting the child's ability to attend school.",FALSE
Unknown/Unclear,26332,Priyanka Kumari left school after studying till class four.,0.9,"The statement only mentions that the child dropped out after class four but does not specify any reason or barrier causing the dropout, making it impossible to classify into any specific theme.",FALSE
